zip,area,value,tier
# US high-value home-area ZIPs (Zillow ZHVI). Regenerate with scripts/build_us_property.py.
# Lines starting with # are ignored. Tier: ultra (>= $2M) / prime (>= $1M) latest ZHVI.
90265,Malibu CA,3191181,ultra
90266,Manhattan Beach CA,3289309,ultra
90272,Los Angeles CA,2929779,ultra
90274,Rolling Hills Estates CA,2530146,ultra
90275,Rancho Palos Verdes CA,1820447,prime
90277,Redondo Beach CA,1650640,prime
90278,Redondo Beach CA,1417518,prime
90290,Topanga CA,1445805,prime
90291,Los Angeles CA,1927363,prime
90292,Marina del Rey CA,1238797,prime
90401,Santa Monica CA,1336765,prime
90402,Santa Monica CA,4905611,ultra
90403,Santa Monica CA,1482790,prime
90404,Santa Monica CA,1070175,prime
90405,Santa Monica CA,1945249,prime
90503,Torrance CA,1303612,prime
90504,Torrance CA,1001945,prime
90505,Torrance CA,1425193,prime
90623,La Palma CA,1213185,prime
90630,Cypress CA,1087576,prime
90703,Cerritos CA,1101376,prime
90720,Los Alamitos CA,1580418,prime
90742,Huntington Beach CA,2189271,ultra
90803,Long Beach CA,1338800,prime
90808,Long Beach CA,1041404,prime
90814,Long Beach CA,1003011,prime
90815,Long Beach CA,1051199,prime
91001,Altadena CA,1115960,prime
91006,Arcadia CA,1399017,prime
91007,Arcadia CA,1423084,prime
91008,Bradbury CA,1916991,prime
91011,La Canada Flintridge CA,2497996,ultra
91020,La Crescenta-Montrose CA,1026770,prime
91024,Sierra Madre CA,1440426,prime
91030,South Pasadena CA,1715248,prime
91103,Pasadena CA,1092327,prime
91104,Pasadena CA,1230508,prime
91105,Pasadena CA,1823415,prime
91107,Pasadena CA,1336884,prime
91108,San Marino CA,2820708,ultra
91201,Glendale CA,1297455,prime
91202,Glendale CA,1241374,prime
91206,Glendale CA,1139265,prime
91207,Glendale CA,1745092,prime
91208,Glendale CA,1550915,prime
91210,Glendale CA,1162192,prime
91214,La Crescenta-Montrose CA,1257697,prime
91301,Agoura Hills CA,1246386,prime
91302,Calabasas CA,1964055,prime
91307,Los Angeles CA,1004839,prime
91320,Thousand Oaks CA,1025390,prime
91325,Los Angeles CA,1040091,prime
91326,Los Angeles CA,1235787,prime
91356,Los Angeles CA,1350979,prime
91360,Thousand Oaks CA,1021453,prime
91361,Westlake Village CA,1563708,prime
91362,Thousand Oaks CA,1205401,prime
91364,Los Angeles CA,1303215,prime
91367,Los Angeles CA,1115600,prime
91377,Oak Park CA,1144782,prime
91401,Los Angeles CA,1119294,prime
91403,Los Angeles CA,1481629,prime
91423,Los Angeles CA,1447947,prime
91436,Los Angeles CA,2236563,ultra
91501,Burbank CA,1251052,prime
91504,Burbank CA,1233178,prime
91505,Burbank CA,1132306,prime
91506,Burbank CA,1227234,prime
91602,Los Angeles CA,1069346,prime
91604,Los Angeles CA,1706061,prime
91607,Los Angeles CA,1253120,prime
91711,Claremont CA,1029286,prime
91741,Glendora CA,1023423,prime
91765,Diamond Bar CA,1032954,prime
91775,San Gabriel CA,1279162,prime
91780,Temple City CA,1099060,prime
91789,Walnut CA,1154874,prime
91902,Bonita CA,1158122,prime
91914,Chula Vista CA,1179723,prime
91935,Jamul CA,1031735,prime
91941,La Mesa CA,1037085,prime
92003,Bonsall CA,1019113,prime
92007,Encinitas CA,2150602,ultra
92008,Carlsbad CA,1464188,prime
92009,Carlsbad CA,1586842,prime
92010,Carlsbad CA,1296939,prime
92011,Carlsbad CA,1385310,prime
92014,San Diego CA,2886990,ultra
92024,Encinitas CA,1891492,prime
92029,Escondido CA,1183851,prime
92037,San Diego CA,2400473,ultra
92054,Oceanside CA,1134351,prime
92059,Pala CA,1072876,prime
92064,Poway CA,1237994,prime
92067,Rancho Santa Fe CA,4741951,ultra
92075,Solana Beach CA,2264088,ultra
92078,San Marcos CA,1024908,prime
92091,Rancho Santa Fe CA,3303526,ultra
92103,San Diego CA,1092438,prime
92106,San Diego CA,1811667,prime
92107,San Diego CA,1517960,prime
92109,San Diego CA,1525073,prime
92110,San Diego CA,1027168,prime
92116,San Diego CA,1020071,prime
92117,San Diego CA,1100340,prime
92118,Coronado CA,2561268,ultra
92120,San Diego CA,1055258,prime
92121,San Diego CA,1112075,prime
92122,San Diego CA,1102876,prime
92124,San Diego CA,1075060,prime
92126,San Diego CA,1011530,prime
92127,San Diego CA,1643582,prime
92128,San Diego CA,1012534,prime
92129,San Diego CA,1379705,prime
92130,San Diego CA,2093083,ultra
92131,San Diego CA,1507870,prime
92210,Indian Wells CA,1445335,prime
92590,Temecula CA,1477930,prime
92602,Irvine CA,2034975,ultra
92603,Irvine CA,2399594,ultra
92604,Irvine CA,1396164,prime
92606,Irvine CA,1481871,prime
92610,Lake Forest CA,1256959,prime
92612,Irvine CA,1201000,prime
92614,Irvine CA,1234869,prime
92618,Irvine CA,1593414,prime
92620,Irvine CA,1697009,prime
92624,Dana Point CA,1677123,prime
92625,Newport Beach CA,4268374,ultra
92626,Costa Mesa CA,1459332,prime
92627,Costa Mesa CA,1392449,prime
92629,Dana Point CA,1765748,prime
92630,Lake Forest CA,1201284,prime
92646,Huntington Beach CA,1406749,prime
92647,Huntington Beach CA,1259621,prime
92648,Huntington Beach CA,1554801,prime
92649,Huntington Beach CA,1386393,prime
92651,Laguna Beach CA,3110161,ultra
92653,Laguna Hills CA,1295706,prime
92655,CA,1061121,prime
92657,Newport Beach CA,5606102,ultra
92660,Newport Beach CA,3273269,ultra
92661,Newport Beach CA,4618792,ultra
92662,Newport Beach CA,4627201,ultra
92663,Newport Beach CA,2732545,ultra
92672,San Clemente CA,1737677,prime
92673,San Clemente CA,1744214,prime
92675,San Juan Capistrano CA,1348035,prime
92676,Silverado CA,1071583,prime
92677,Laguna Niguel CA,1493046,prime
92679,Coto de Caza CA,1598532,prime
92683,Westminster CA,1103915,prime
92688,Rancho Santa Margarita CA,1026277,prime
92691,Mission Viejo CA,1231636,prime
92692,Mission Viejo CA,1228721,prime
92694,Ladera Ranch CA,1275322,prime
92705,North Tustin CA,1604284,prime
